ind	protName	numOrthology
352	YBR185C	6
353	YBR186W	65
354	YBR187W	81
355	YBR188C	1
356	YBR190W	0
357	YBR192W	78
358	YBR193C	10
359	YBR194W	2
360	YBR195C	6
361	YBR196C	96
362	YBR197C	2
363	YBR198C	90
364	YBR199W	10
365	YBR200W	20
366	YBR201W	14
367	YBR202W	92
368	YBR203W	4
369	YBR204C	3
370	YBR205W	4
371	YBR207W	5
372	YBR208C	62
373	YBR209W	0
374	YBR211C	2
375	YBR212W	21
376	YBR213W	16
377	YBR214W	14
378	YBR215W	11
379	YBR216C	5
380	YBR217W	32
381	YBR218C	34
382	YBR219C	0
383	YBR220C	86
384	YBR221C	93
385	YBR222C	83
386	YBR223C	62
387	YBR225W	2
388	YBR226C	0
389	YBR227C	87
390	YBR228W	62
391	YBR229C	92
392	YBR230C	2
393	YBR231C	57
394	YBR233W	78
395	YBR234C	85
396	YBR235W	76
397	YBR236C	86
398	YBR237W	89
399	YBR238C	4
400	YBR239C	15
401	YBR240C	2
402	YBR241C	76
403	YBR242W	41
404	YBR243C	92
405	YBR244W	62
406	YBR245C	18
407	YBR246W	40
408	YBR247C	92
409	YBR248C	34
410	YBR249C	22
411	YBR250W	1
412	YBR251W	21
413	YBR252W	87
414	YBR253W	3
415	YBR254C	84
416	YBR255W	5
417	YBR257W	38
418	YBR258C	2
419	YBR260C	61
420	YBR261C	88
421	YBR262C	2
422	YBR263W	14
423	YBR264C	1
424	YBR265W	63
425	YBR266C	0
426	YBR267W	88
427	YBR269C	21
428	YBR270C	3
429	YBR271W	18
430	YBR272C	4
431	YBR273C	26
432	YBR274W	60
433	YBR275C	5
434	YBR276C	16
435	YBR277C	0
436	YBR278W	11
437	YBR279W	47
438	YBR280C	13
439	YBR281C	19
440	YBR282W	11
441	YBR283C	5
442	YBR284W	2
443	YBR285W	0
444	YBR286W	19
445	YBR287W	26
446	YBR288C	10
447	YBR289W	40
448	YBR290W	15
449	YBR291C	73
450	YBR293W	14
451	YBR295W	8
452	YBR296C	80
453	YBR298C	8
454	YBR299W	7
455	YBR300C	0
456	YBR301W	0
457	YBR302C	0
458	YCL004W	84
459	YCL005W	1
460	YCL007C	0
461	YCL008C	60
462	YCL009C	21
463	YCL010C	14
464	YCL011C	41
465	YCL014W	8
466	YCL016C	58
467	YCL017C	98
468	YCL018W	31
469	YCL019W	4
470	YCL020W	0
471	YCL023C	0
472	YCL024W	29
473	YCL025C	8
474	YCL026C-A	0
475	YCL027W	5
476	YCL028W	1
477	YCL029C	23
478	YCL030C	29
479	YCL031C	40
480	YCL032W	7
481	YCL033C	86
482	YCL034W	16
483	YCL035C	36
484	YCL036W	1
485	YCL037C	21
486	YCL038C	17
487	YCL039W	70
488	YCL040W	18
489	YCL042W	0
490	YCL043C	96
491	YCL044C	4
492	YCL045C	79
493	YCL046W	0
494	YCL048W	5
495	YCL049C	1
496	YCL050C	8
497	YCL051W	3
498	YCL052C	8
499	YCL054W	83
500	YCL055W	47
501	YCL056C	1
502	YCL057W	67
503	YCL058C	0
504	YCL059C	90
505	YCL061C	10
506	YCL063W	2
507	YCL064C	47
508	YCL065W	0
509	YCL069W	1
510	YCL073C	0
511	YCL076W	0
512	YCR001W	0
513	YCR002C	47
514	YCR003W	17
515	YCR004C	22
516	YCR005C	3
517	YCR007C	1
518	YCR008W	22
519	YCR009C	54
520	YCR010C	20
521	YCR011C	90
522	YCR012W	96
523	YCR014C	53
524	YCR015C	10
525	YCR016W	17
526	YCR020C-A	8
527	YCR021C	4
528	YCR022C	0
529	YCR023C	57
530	YCR024C	89
531	YCR024C-A	1
532	YCR027C	44
533	YCR028C	19
534	YCR028C-A	15
535	YCR030C	16
536	YCR033W	28
537	YCR034W	59
538	YCR035C	8
539	YCR036W	88
540	YCR037C	5
541	YCR038C	24
542	YCR039C	9
543	YCR040W	2
544	YCR041W	0
545	YCR042C	73
546	YCR044C	71
547	YCR045C	11
548	YCR046C	13
549	YCR047C	94
550	YCR048W	24
551	YCR050C	0
552	YCR052W	33
553	YCR053W	56
554	YCR054C	12
555	YCR057C	95
556	YCR059C	63
557	YCR060W	8
558	YCR061W	16
559	YCR063W	93
560	YCR065W	39
561	YCR066W	55
562	YCR067C	5
563	YCR068W	19
564	YCR071C	14
565	YCR072C	96
566	YCR073C	27
567	YCR075C	70
568	YCR076C	1
569	YCR077C	40
570	YCR079W	16
571	YCR081W	10
572	YCR082W	2
573	YCR084C	48
574	YCR086W	4
575	YCR087C-A	22
576	YCR087W	0
577	YCR088W	70
578	YCR091W	23
579	YCR092C	53
580	YCR093W	92
581	YCR094W	87
582	YCR095C	7
583	YCR096C	1
584	YCR097W	4
585	YCR098C	25
586	YCR099C	0
587	YCR100C	0
588	YCR101C	0
589	YCR105W	10
590	YCR106W	2
591	YCR107W	0
592	YDL001W	49
593	YDL002C	29
594	YDL003W	63
595	YDL004W	84
596	YDL005C	2
597	YDL006W	37
598	YDL007W	96
599	YDL008W	59
600	YDL011C	0
601	YDL012C	2
602	YDL013W	4
603	YDL014W	96
604	YDL015C	94
605	YDL016C	0
606	YDL017W	61
607	YDL019C	30
608	YDL020C	11
609	YDL022W	81
610	YDL023C	0
611	YDL024C	18
612	YDL025C	9
613	YDL026W	0
614	YDL027C	2
615	YDL028C	34
616	YDL029W	87
617	YDL030W	92
618	YDL031W	90
619	YDL035C	10
620	YDL036C	43
621	YDL037C	0
622	YDL040C	93
623	YDL041W	0
624	YDL042C	23
625	YDL043C	79
626	YDL044C	2
627	YDL045C	41
628	YDL045W-A	14
629	YDL046W	26
630	YDL047W	67
631	YDL049C	5
632	YDL050C	0
633	YDL051W	71
634	YDL052C	82
635	YDL053C	2
636	YDL054C	17
637	YDL055C	94
638	YDL056W	20
639	YDL058W	52
640	YDL059C	9
641	YDL060W	95
642	YDL061C	14
643	YDL062W	0
644	YDL063C	15
645	YDL064W	90
646	YDL065C	35
647	YDL066W	75
648	YDL067C	17
649	YDL069C	0
650	YDL070W	30
651	YDL071C	0
652	YDL072C	61
653	YDL073W	3
654	YDL074C	73
655	YDL075W	66
656	YDL076C	3
657	YDL077C	30
658	YDL078C	8
659	YDL079C	5
660	YDL080C	1
661	YDL081C	81
662	YDL082W	58
663	YDL084W	94
664	YDL085W	7
665	YDL086W	17
666	YDL087C	88
667	YDL088C	5
668	YDL089W	3
669	YDL090C	88
670	YDL091C	76
671	YDL092W	6
672	YDL093W	1
673	YDL094C	0
674	YDL095W	21
675	YDL096C	0
676	YDL097C	97
677	YDL098C	79
678	YDL099W	2
679	YDL100C	94
680	YDL101C	38
681	YDL102W	92
682	YDL103C	94
683	YDL104C	80
684	YDL105W	41
685	YDL106C	32
686	YDL108W	80
687	YDL110C	3
688	YDL111C	27
689	YDL112W	15
690	YDL113C	17
691	YDL114W	76
692	YDL115C	7
693	YDL116W	56
694	YDL117W	21
695	YDL118W	0
696	YDL119C	57
697	YDL121C	2
698	YDL123W	11
699	YDL124W	15
700	YDL125C	95
701	YDL126C	96
702	YDL127W	12
703	YDL128W	35
704	YDL129W	2
705	YDL130W	14
706	YDL131W	52
707	YDL132W	94
708	YDL133W	9
709	YDL134C	34
710	YDL135C	84
711	YDL137W	83
712	YDL138W	20
713	YDL139C	2
714	YDL140C	91
715	YDL143W	97
716	YDL144C	17
717	YDL145C	94
718	YDL146W	15
719	YDL147W	97
720	YDL148C	81
721	YDL149W	57
722	YDL150W	51
723	YDL153C	66
724	YDL154W	47
725	YDL155W	44
726	YDL156W	52
727	YDL157C	5
728	YDL158C	0
729	YDL159W	53
730	YDL159W-A	0
731	YDL160C	93
732	YDL161W	21
733	YDL162C	0
734	YDL164C	93
735	YDL165W	18
736	YDL166C	91
737	YDL167C	14
738	YDL168W	84
739	YDL171C	62
740	YDL172C	0
741	YDL173W	3
742	YDL175C	8
743	YDL176W	2
744	YDL178W	84
745	YDL179W	2
746	YDL180W	2
747	YDL181W	11
748	YDL183C	15
749	YDL185W	17
750	YDL186W	2
751	YDL188C	71
752	YDL189W	24
753	YDL190C	91
754	YDL191W	97
755	YDL192W	43
756	YDL193W	53
757	YDL195W	95
758	YDL196W	0
759	YDL198C	23
760	YDL199C	2
761	YDL200C	19
762	YDL201W	91
763	YDL202W	12
764	YDL203C	7
765	YDL204W	2
766	YDL206W	72
767	YDL207W	52
768	YDL208W	90
769	YDL209C	29
770	YDL210W	39
771	YDL211C	0
772	YDL212W	16
773	YDL213C	21
774	YDL214C	7
775	YDL215C	29
776	YDL216C	16
777	YDL217C	77
778	YDL218W	3
779	YDL219W	85
780	YDL220C	2
781	YDL221W	0
782	YDL223C	0
783	YDL224C	21
784	YDL225W	4
785	YDL226C	81
786	YDL229W	5
787	YDL230W	81
788	YDL231C	11
789	YDL232W	1
790	YDL233W	6
791	YDL235C	10
792	YDL236W	88
793	YDL237W	12
794	YDL238C	75
795	YDL239C	1
796	YDL240W	25
797	YDL241W	0
798	YDL243C	6
799	YDL245C	0
800	YDL246C	21
801	YDL248W	0
802	YDR001C	52
803	YDR002W	76
804	YDR003W	4
805	YDR004W	52
806	YDR005C	48
807	YDR006C	43
808	YDR007W	17
809	YDR009W	8
810	YDR010C	0
811	YDR012W	95
812	YDR013W	76
813	YDR016C	10
814	YDR017C	49
815	YDR018C	36
816	YDR020C	41
817	YDR021W	75
818	YDR022C	1
819	YDR023W	95
820	YDR024W	0
821	YDR026C	22
822	YDR027C	40
823	YDR028C	13
824	YDR030C	8
825	YDR031W	9
826	YDR032C	15
827	YDR034C	6
828	YDR036C	87
829	YDR037W	99
830	YDR038C	13
831	YDR039C	16
832	YDR040C	4
833	YDR041W	20
834	YDR042C	0
835	YDR043C	27
836	YDR044W	83
837	YDR045C	84
838	YDR046C	1
839	YDR049W	65
840	YDR050C	96
841	YDR051C	13
842	YDR052C	17
843	YDR054C	65
844	YDR055W	1
845	YDR056C	3
846	YDR060W	85
847	YDR061W	19
848	YDR062W	91
849	YDR063W	37
850	YDR066C	4
851	YDR067C	10
852	YDR068W	20
853	YDR069C	23
854	YDR070C	2
855	YDR071C	35
856	YDR072C	6
857	YDR073W	2
858	YDR074W	31
859	YDR075W	32
860	YDR076W	2
861	YDR077W	5
862	YDR078C	2
863	YDR079C-A	48
864	YDR079W	13
865	YDR080W	76
866	YDR081C	20
867	YDR082W	3
868	YDR084C	82
869	YDR085C	4
870	YDR086C	82
871	YDR087C	50
872	YDR088C	62
873	YDR091C	88
874	YDR092W	94
875	YDR093W	15
876	YDR095C	0
877	YDR096W	23
878	YDR097C	92
879	YDR098C	27
880	YDR099W	73
881	YDR100W	13
882	YDR101C	20
883	YDR102C	0
884	YDR103W	4
885	YDR104C	10
886	YDR105C	86
887	YDR106W	3
888	YDR107C	11
889	YDR108W	11
890	YDR110W	5
891	YDR111C	45
892	YDR113C	2
893	YDR115W	17
894	YDR116C	30
895	YDR118W	2
896	YDR119W	1
897	YDR120C	96
898	YDR121W	24
899	YDR122W	28
900	YDR123C	2
901	YDR126W	20
902	YDR127W	22
903	YDR128W	62
904	YDR129C	81
905	YDR130C	2
906	YDR131C	4
907	YDR132C	9
908	YDR133C	0
909	YDR135C	93
910	YDR136C	0
911	YDR137W	12
912	YDR138W	2
913	YDR139C	16
914	YDR140W	88
915	YDR141C	63
916	YDR142C	71
917	YDR143C	25
918	YDR144C	2
919	YDR145W	22
920	YDR146C	20
921	YDR148C	89
922	YDR150W	9
923	YDR151C	7
924	YDR152W	73
925	YDR155C	96
926	YDR156W	2
927	YDR158W	33
928	YDR159W	36
929	YDR160W	5
930	YDR162C	16
931	YDR164C	91
932	YDR165W	32
933	YDR166C	47
934	YDR167W	65
935	YDR168W	63
936	YDR169C	9
937	YDR170C	85
938	YDR170W-A	0
939	YDR171W	6
940	YDR172W	96
941	YDR173C	55
942	YDR174W	20
943	YDR175C	11
944	YDR176W	19
945	YDR177W	84
946	YDR178W	5
947	YDR179C	2
948	YDR180W	50
949	YDR181C	2
950	YDR183W	87
951	YDR184C	3
952	YDR186C	2
953	YDR188W	98
954	YDR189W	96
955	YDR190C	95
956	YDR192C	9
957	YDR194C	13
958	YDR195W	2
959	YDR196C	87
960	YDR198C	28
961	YDR200C	20
962	YDR201W	5
963	YDR202C	5
964	YDR205W	23
965	YDR206W	19
966	YDR207C	2
967	YDR208W	67
968	YDR211W	92
969	YDR212W	93
970	YDR213W	10
971	YDR214W	84
972	YDR215C	0
973	YDR216W	5
974	YDR217C	11
975	YDR218C	2
976	YDR219C	2
977	YDR221W	73
978	YDR223W	1
979	YDR224C	92
980	YDR225W	74
981	YDR226W	97
982	YDR227W	1
983	YDR228C	45
984	YDR229W	10
985	YDR231C	9
986	YDR233C	35
987	YDR235W	27
988	YDR236C	75
989	YDR237W	27
990	YDR238C	96
991	YDR239C	2
992	YDR240C	2
993	YDR242W	70
994	YDR243C	83
995	YDR244W	68
996	YDR245W	15
997	YDR246W	77
998	YDR247W	12
999	YDR249C	2
1000	YDR250C	0
1001	YDR251W	0
1002	YDR252W	0
1003	YDR253C	21
1004	YDR254W	12
1005	YDR255C	75
1006	YDR256C	78
1007	YDR259C	3
1008	YDR260C	1
1009	YDR261W-A	0
1010	YDR261W-B	1
1011	YDR262W	7
1012	YDR263C	33
1013	YDR264C	75
1014	YDR265W	75
1015	YDR266C	73
1016	YDR267C	93
1017	YDR268W	79
1018	YDR269C	0
1019	YDR270W	92
1020	YDR271C	0
1021	YDR273W	0
1022	YDR274C	0
1023	YDR275W	0
1024	YDR276C	31
1025	YDR277C	4
1026	YDR279W	3
1027	YDR280W	92
1028	YDR281C	0
1029	YDR283C	70
1030	YDR284C	84
1031	YDR285W	5
1032	YDR286C	11
1033	YDR287W	64
1034	YDR288W	8
1035	YDR289C	50
1036	YDR290W	0
1037	YDR291W	34
1038	YDR292C	94
1039	YDR293C	22
1040	YDR295C	4
1041	YDR296W	5
1042	YDR297W	30
1043	YDR298C	88
1044	YDR299W	76
1045	YDR300C	28
1046	YDR301W	83
1047	YDR303C	1
1048	YDR304C	56
1049	YDR305C	35
1050	YDR306C	9
1051	YDR307W	2
1052	YDR308C	29
1053	YDR309C	2
1054	YDR310C	1
1055	YDR311W	60
1056	YDR312W	54
1057	YDR313C	16
1058	YDR314C	3
1059	YDR315C	7
1060	YDR316W	10
1061	YDR317W	2
1062	YDR318W	4
1063	YDR319C	12
1064	YDR320C	27
1065	YDR321W	18
1066	YDR322C-A	13
1067	YDR322W	19
1068	YDR323C	62
1069	YDR324C	75
1070	YDR326C	19
1071	YDR327W	0
1072	YDR328C	94
1073	YDR329C	44
1074	YDR330W	57
1075	YDR331W	94
1076	YDR332W	25
1077	YDR333C	67
1078	YDR334W	64
1079	YDR335W	55
1080	YDR337W	25
1081	YDR339C	93
1082	YDR340W	0
1083	YDR341C	79
1084	YDR342C	7
1085	YDR343C	9
1086	YDR344C	0
1087	YDR345C	13
1088	YDR346C	19
1089	YDR347W	6
1090	YDR348C	13
1091	YDR349C	5
1092	YDR350C	2
1093	YDR351W	1
1094	YDR353W	35
1095	YDR356W	29
1096	YDR357C	4
1097	YDR359C	16
1098	YDR361C	57
1099	YDR362C	12
1100	YDR363W	6
1101	YDR363W-A	6
1102	YDR364C	94
1103	YDR365C	88
1104	YDR366C	0
1105	YDR367W	11
1106	YDR368W	24
1107	YDR369C	2
1108	YDR370C	2
1109	YDR371W	78
1110	YDR372C	70
1111	YDR373W	78
1112	YDR374C	37
1113	YDR376W	86
1114	YDR377W	17
1115	YDR378C	72
1116	YDR379W	36
1117	YDR380W	4
1118	YDR381W	65
1119	YDR382W	85
1120	YDR383C	1
1121	YDR384C	2
1122	YDR386W	71
1123	YDR387C	19
1124	YDR388W	53
1125	YDR389W	45
1126	YDR390C	89
1127	YDR392W	44
1128	YDR394W	92
1129	YDR395W	5
1130	YDR397C	80
1131	YDR398W	60
1132	YDR399W	6
1133	YDR400W	69
1134	YDR403W	7
1135	YDR404C	91
1136	YDR405W	13
1137	YDR406W	15
1138	YDR407C	49
1139	YDR408C	29
1140	YDR409W	32
1141	YDR410C	88
1142	YDR412W	21
1143	YDR413C	0
1144	YDR414C	23
1145	YDR415C	21
1146	YDR416W	85
1147	YDR419W	76
1148	YDR421W	14
1149	YDR422C	3
1150	YDR423C	1
1151	YDR424C	95
1152	YDR425W	13
1153	YDR427W	93
1154	YDR428C	17
1155	YDR429C	83
1156	YDR430C	81
1157	YDR431W	0
1158	YDR432W	59
1159	YDR433W	0
1160	YDR435C	88
1161	YDR436W	16
1162	YDR438W	12
1163	YDR439W	1
1164	YDR440W	23
1165	YDR441C	0
1166	YDR442W	0
1167	YDR443C	10
1168	YDR444W	5
1169	YDR445C	0
1170	YDR446W	3
1171	YDR448W	87
1172	YDR449C	29
1173	YDR450W	91
1174	YDR452W	76
1175	YDR453C	5
1176	YDR454C	93
1177	YDR455C	0
1178	YDR456W	94
1179	YDR457W	55
1180	YDR459C	11
1181	YDR460W	79
1182	YDR461W	0
1183	YDR462W	9
1184	YDR463W	5
1185	YDR464W	4
1186	YDR465C	27
1187	YDR466W	33
1188	YDR468C	23
1189	YDR469W	11
1190	YDR472W	62
1191	YDR473C	78
1192	YDR475C	4
1193	YDR477W	87
1194	YDR478W	3
1195	YDR479C	15
1196	YDR480W	0
1197	YDR482C	10
1198	YDR483W	4
1199	YDR484W	82
1200	YDR485C	56
1201	YDR487C	28
1202	YDR488C	43
1203	YDR489W	78
1204	YDR490C	10
1205	YDR492W	20
1206	YDR496C	90
1207	YDR497C	30
1208	YDR498C	9
1209	YDR499W	4
1210	YDR500C	13
1211	YDR501W	9
1212	YDR502C	35
1213	YDR503C	16
1214	YDR504C	0
1215	YDR505C	13
1216	YDR506C	4
1217	YDR507C	33
1218	YDR508C	6
1219	YDR509W	0
1220	YDR510W	95
1221	YDR511W	61
1222	YDR512C	2
1223	YDR513W	66
1224	YDR514C	5
1225	YDR515W	8
1226	YDR516C	1
1227	YDR517W	30
1228	YDR520C	5
1229	YDR522C	1
1230	YDR523C	82
1231	YDR524C	2
1232	YDR526C	0
1233	YDR527W	14
1234	YDR528W	0
1235	YDR529C	71
1236	YDR530C	17
1237	YDR531W	79
1238	YDR532C	2
1239	YDR533C	25
1240	YDR534C	1
1241	YDR536W	16
1242	YDR538W	5
1243	YDR541C	25
1244	YDR542W	0
1245	YDR545W	0
1246	YEL002C	89
1247	YEL003W	91
1248	YEL004W	67
1249	YEL005C	2
1250	YEL006W	14
1251	YEL008W	0
1252	YEL009C	33
1253	YEL011W	86
1254	YEL012W	87
1255	YEL013W	66
1256	YEL015W	20
1257	YEL016C	2
1258	YEL017C-A	0
1259	YEL017W	2
1260	YEL018W	1
1261	YEL019C	12
1262	YEL020C	69
1263	YEL020W-A	79
1264	YEL021W	71
1265	YEL022W	49
1266	YEL023C	14
1267	YEL024W	81
1268	YEL026W	91
1269	YEL027W	85
1270	YEL030W	0
1271	YEL031W	92
1272	YEL032W	91
1273	YEL034W	62
1274	YEL036C	17
1275	YEL037C	94
1276	YEL038W	59
1277	YEL039C	29
1278	YEL041W	39
1279	YEL042W	73
1280	YEL043W	8
1281	YEL046C	74
1282	YEL047C	24
1283	YEL048C	2
1284	YEL049W	0
1285	YEL050C	56
1286	YEL051W	98
1287	YEL053C	63
1288	YEL054C	95
1289	YEL055C	49
1290	YEL056W	94
1291	YEL057C	0
1292	YEL058W	90
1293	YEL059W	0
1294	YEL060C	36
1295	YEL061C	59
1296	YEL062W	62
1297	YEL063C	20
1298	YEL064C	68
1299	YEL065W	9
1300	YEL066W	5
1301	YEL068C	0
1302	YEL069C	3
1303	YEL070W	8
1304	YEL071W	1
1305	YEL072W	2
1306	YEL074W	0
1307	YEL075C	0
1308	YEL077C	0
1309	YER001W	3
1310	YER002W	21
1311	YER003C	94
1312	YER004W	54
1313	YER005W	58
1314	YER006W	84
1315	YER007C-A	89
1316	YER007W	80
1317	YER008C	22
1318	YER009W	91
1319	YER010C	19
1320	YER011W	1
1321	YER012W	92
1322	YER013W	87
1323	YER014W	66
1324	YER015W	89
1325	YER016W	91
1326	YER017C	27
1327	YER018C	1
1328	YER019C-A	36
1329	YER019W	50
1330	YER020W	23
1331	YER021W	93
1332	YER022W	11
1333	YER023W	93
1334	YER025W	89
1335	YER026C	16
1336	YER027C	33
1337	YER028C	31
1338	YER029C	53
1339	YER030W	5
1340	YER031C	70
1341	YER032W	2
1342	YER033C	2
1343	YER035W	0
1344	YER036C	87
1345	YER037W	5
1346	YER038C	2
1347	YER040W	22
1348	YER041W	23
1349	YER043C	96
1350	YER044C	49
1351	YER045C	19
1352	YER047C	49
1353	YER048C	35
1354	YER049W	62
1355	YER051W	31
1356	YER052C	33
1357	YER053C	85
1358	YER054C	22
1359	YER055C	31
1360	YER056C	12
1361	YER057C	70
